C111,スラッシュ,2,9,TRUE,-,120,,,■攻撃チェンジ\n・敵全体に攻撃力120％のダメージを与える
C112,ストロング,1,6,FALSE,2,40,20,,・味方一人の攻撃力をレイガの基礎攻撃力40％分アップ、与ダメージ+20％
C113,エール,2,0,TRUE,-,30,2,,・EP+30\n・2枚ドロー
C114,アタックチャージ,1,10,TRUE,1,10,20,,・EP+10\n・味方が通常攻撃するとき、EP+20\n※効果累積不可
C115,スタンバイ,1,0,TRUE,-,2,1,,・AP+2\n・1枚ドロー
C121,スラッシュ・改,2,9,TRUE,-,200,,,■攻撃チェンジ\n・敵全体に攻撃力200％のダメージを与える
C122,リーダーシップ,1,10,FALSE,3,40,60,,・味方全員の攻撃力をレイガの基礎攻撃力40％分アップ、与ダメージ+60％
C123,修練,2,6,FALSE,3,2,40,50,・2枚ドロー\n・味方一人の攻撃力をレイガの基礎攻撃力40％分アップ、通常攻撃ダメージを50％アップする
C124,乱撃斬,3,9,TRUE,-,5,100,,□追加攻撃\n・5回ランダムな敵に攻撃力100％のダメージを与える
C125,スタンバイ・改,1,0,TRUE,-,2,3,,・AP+2\n・3枚ドロー
C131,スラッシュ・傷,2,9,TRUE,-,15,180,10,■攻撃チェンジ\n・自身の残りHP15％を消費して、敵全体に攻撃力180％+最大HP10％のダメージを与える
C132,ライフ・ストロング,1,20,FALSE,2,20,15,5,・自身の残りHP20%を消費して、最大HPを基礎HP15％分アップ、攻撃力を最大HP5％分アップする
C133,不屈の精神,1,20,FALSE,2,15,8,30,・自身の残りHP15%を消費して、攻撃力を最大HP8％分アップ、与ダメージ+30％
C134,ライフ・インパクト,2,5,TRUE,-,15,200,30,■攻撃チェンジ\n・自身の残りHP15％を消費して、敵単体に攻撃力200％+最大HP30％のダメージを与える
C135,リライフ,2,20,FALSE,-,,,,・自身のHPを最大まで回復する
C211,挑発,1,20,FALSE,2,10,,,・攻撃ターゲットを自分にする\n・味方全体の被ダメージ-10％
C212,ヘイスト,1,0,TRUE,-,20,1,,・EP+20\n・1枚ドロー
C213,ヒートチャージ,1,10,TRUE,1,10,15,,・EP+10\n・味方が攻撃を受けるとき、EP+15\n※効果累積不可
C214,パーフェクトガード,1,20,FALSE,1,20,50,,・自身の最大HPを基礎HP20％分アップ\n・味方が受ける攻撃の50％を肩代わりする\n※効果累積不可
C215,シールド,2,6,FALSE,-,20,20,,・EP+20\n・味方一人にカイトの最大HP20％分のシールドを付与する
C221,挑発・改,1,20,FALSE,3,30,,,・攻撃ターゲットを自分にする\n・味方全体の被ダメージ-30％
C222,リスタート,1,6,FALSE,3,2,30,,・2枚ドロー\n・味方一人の最大HPをカイトのHP30％分アップする
C223,アイ・アム・キャッスル,1,10,FALSE,1,20,30,,・味方全員の被ダメージ-20％、最大HPをカイトのHP30％分アップする
C224,パーフェクトシールド,2,20,FALSE,1,100,30,2,・味方が受ける攻撃を100%カット、ダメージの30％を返す、2回発動する\n※効果累積不可
C225,ハイシールド,2,10,FALSE,-,40,2,,・味方全員に、カイトの最大HP40％分のシールドを付与する\n・2枚ドロー
C231,挑発・改,1,20,FALSE,3,50,,,・攻撃ターゲットを自分にする\n・自身の最大HPをHP50％分アップする
C232,整う構え,1,20,FALSE,-,2,30,,・2枚ドロー\n・自身の被ダメージ-30％
C233,決意の一撃,4,9,FALSE,-,250,,,・敵全体に自身のHP250％のダメージを与える
C234,ガードアタック,2,20,FALSE,1,70,80,3,・味方が受ける攻撃を70％カット、ダメージの80％を返す、最大3回発動する\n※効果累積不可
C235,カウンター,2,20,FALSE,2,250,,,・自身が攻撃を受けたら、受けたダメージ250％のダメージを返す\n※効果累積不可
C311,マナチャージ,0,0,TRUE,-,2,,,・AP+2
C312,アクティブチャージ,1,10,TRUE,1,20,15,,・EP+20\n・味方がAPを1消費するごとにEP+15\n※効果累積不可
C313,アイシクルエッジ,2,9,TRUE,-,100,,,■攻撃チェンジ\n・敵全体に魔法攻撃力100％のダメージを与える
C314,アイシクルランス,3,5,TRUE,-,200,,,■攻撃チェンジ\n・敵一体に魔法攻撃力200％のダメージを与える
C315,アイシクルレイン,4,9,TRUE,-,170,,,■攻撃チェンジ\n・敵全体に魔法攻撃力170％のダメージを与える
C321,マナリチャージャー,1,10,TRUE,0,2,1,5,・AP+2\n・カードを使用するとき、AP+1、最大5回発動する\n※効果累積不可
C322,ライジング,1,20,FALSE,1,20,,,・味方がAPを1消費するごとに、アリナの与ダメージ+20％\n※効果累積不可
C323,アイシクルウェーブ,2,9,TRUE,0,20,180,,■攻撃チェンジ\n・敵全体の被ダメージ+20％し、敵全体に魔法攻撃力180％のダメージを与える
C324,ロンギヌスの槍,3,5,TRUE,-,500,,,■攻撃チェンジ\n・敵一体に魔法攻撃力500％のダメージを与える
C325,天罰,4,9,TRUE,-,450,,,■攻撃チェンジ\n・敵全体に魔法攻撃力450％のダメージを与える
C331,絡み合う茨,0,9,FALSE,2,2,5,,・AP+2\n・敵全体の被ダメージ+5％
C332,ライジング,2,20,FALSE,0,10,,,・味方がAPを1消費するごとに、アリナの与ダメージ+10％ 効果累積不可
